id_symbol_primary,id_protein_name,id_geneID,chromosome,start,end,strand
CENPS,centromere protein S,378708,1,10430433,10442808,+
CORT,cortistatin,1325,1,10450031,10451998,+
DFFA,DNA fragmentation factor subunit alpha,1676,1,10456522,10472529,-
PEX14,peroxisomal biogenesis factor 14,5195,1,10474946,10630758,+
CASZ1,castor zinc finger 1,54897,1,10636604,10796650,-
TARDBP,TAR DNA binding protein,23435,1,11012654,11030528,+
MASP2,MBL associated serine protease 2,10747,1,11026523,11047239,-
SRM,spermidine synthase,6723,1,11054589,11060053,-
EXOSC10,exosome component 10,5394,1,11066613,11099869,-
MTOR,mechanistic target of rapamycin kinase,2475,1,11106535,11273497,-
ANGPTL7,angiopoietin like 7,10218,1,11189324,11195981,+
UBIAD1,UbiA prenyltransferase domain containing 1,29914,1,11273198,11299574,+
DISP3,dispatched RND transporter family member 3,57540,1,11479155,11537583,+
FBXO2,F-box protein 2,26232,1,11648387,11654429,-
FBXO44,F-box protein 44,93611,1,11654375,11663327,+
FBXO6,F-box protein 6,26270,1,11664200,11674354,+
MAD2L2,mitotic arrest deficient 2 like 2,10459,1,11674480,11691559,-
DRAXIN,dorsal inhibitory axon guidance protein,374946,1,11686635,11725857,+
AGTRAP,angiotensin II receptor associated protein,57085,1,11736121,11750771,+
MTHFR,methylenetetrahydrofolate reductase,4524,1,11785723,11806103,-
CLCN6,chloride voltage-gated channel 6,1185,1,11806191,11843130,+
NPPA,natriuretic peptide A,4878,1,11845709,11847783,-
NPPB,natriuretic peptide B,4879,1,11857464,11858945,-
KIAA2013,KIAA2013,90231,1,11919591,11926427,-
PLOD1,procollagen-lysine-2C2-oxoglutarate 5-dioxygenase 1,5351,1,11934717,11975537,+
MFN2,mitofusin 2,9927,1,11980215,12013508,+
MIIP,migration and invasion inhibitory protein,60672,1,12019466,12032045,+
TNFRSF8,TNF receptor superfamily member 8,943,1,12063303,12144213,+
TNFRSF1B,TNF receptor superfamily member 1B,7133,1,12166948,12209222,+
VPS13D,vacuolar protein sorting 13 homolog D,55187,1,12230030,12512047,+
DHRS3,dehydrogenase/reductase 3,9249,1,12567910,12618210,-
AADACL4,arylacetamide deacetylase like 4,343066,1,12644085,12667076,+
AADACL3,arylacetamide deacetylase like 3,126767,1,12716110,12728760,+
CFAP107,cilia and flagella associated protein 107,93190,1,12746200,12763699,+
PRAMEF12,PRAME family member 12,390999,1,12773738,12777906,+
PRAMEF1,PRAME family member 1,65121,1,12791397,12796628,+
PRAMEF11,PRAME family member 11,440560,1,12824380,12831410,-
HNRNPCL1,heterogeneous nuclear ribonucleoprotein C like 1,343069,1,12847377,12848720,-
PRAMEF2,PRAME family member 2,65122,1,12857086,12861909,+
PRAMEF4,PRAME family member 4,400735,1,12879212,12886201,-
PRAMEF10,PRAME family member 10,343071,1,12892896,12898270,-
PRAMEF7,PRAME family member 7,441871,1,12916610,12920751,+
PRAMEF6,PRAME family member 6,440561,1,12938472,12947580,-
PRAMEF27,PRAME family member 27,101929983,1,13049476,13056575,-
HNRNPCL3,heterogeneous nuclear ribonucleoprotein C like 3,649330,1,13060769,13062878,+
PRAMEF25,PRAME family member 25,441873,1,13070774,13077884,+
HNRNPCL2,heterogeneous nuclear ribonucleoprotein C like 2,440563,1,13115488,13116854,-
PRAMEF26,PRAME family member 26,645359,1,13148907,13156009,-
HNRNPCL4,heterogeneous nuclear ribonucleoprotein C like 4,101060301,1,13163914,13165631,-
PRAMEF9,PRAME family member 9,343070,1,13171848,13179459,+
PRAMEF13,PRAME family member 13,400736,1,13196188,13201409,-
PRAMEF18,PRAME family member 18,391003,1,13222695,13226154,-
PRAMEF5,PRAME family member 5,343068,1,13254198,13263435,+
PRAMEF8,PRAME family member 8,391002,1,13281223,13285137,-
PRAMEF33,PRAME family member 33,645382,1,13303539,13308907,+
PRAMEF15,PRAME family member 15,653619,1,13315581,13322598,+
PRAMEF14,PRAME family member 14,729528,1,13341892,13347134,-
PRAMEF19,PRAME family member 19,645414,1,13368431,13371947,-
PRAMEF17,PRAME family member 17,391004,1,13389632,13392629,+
PRAMEF20,PRAME family member 20,645425,1,13410450,13421328,+
LRRC38,leucine rich repeat containing 38,126755,1,13474973,13514003,-
PDPN,podoplanin,10630,1,13583757,13617957,+
PRDM2,PR/SET domain 2,7799,1,13698874,13825079,+
KAZN,kazrin-2C periplakin interacting protein,23254,1,13893386,15118043,+
TMEM51,transmembrane protein 51,55092,1,15152418,15220478,+
FHAD1,forkhead associated phosphopeptide binding domain 1,114827,1,15236560,15400283,+
EFHD2,EF-hand domain family member D2,79180,1,15409888,15430339,+
CTRC,chymotrypsin C,11330,1,15438442,15449247,+
CELA2A,chymotrypsin like elastase 2A,63036,1,15456732,15472091,+
CELA2B,chymotrypsin like elastase 2B,51032,1,15476104,15491395,+
CASP9,caspase 9,842,1,15491401,15524912,-
DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,23341,1,15526848,15571733,+
AGMAT,agmatinase,79814,1,15571699,15585051,-
DDI2,DNA damage inducible 1 homolog 2,84301,1,15617458,15669044,+
RSC1A1,regulator of solute carriers 1,6248,1,15659713,15662033,+
PLEKHM2,pleckstrin homology and RUN domain containing M2,23207,1,15681506,15734769,+
SLC25A34,solute carrier family 25 member 34,284723,1,15735088,15741392,+
TMEM82,transmembrane protein 82,388595,1,15742499,15747982,+
FBLIM1,filamin binding LIM protein 1,54751,1,15756170,15786590,+
UQCRHL,ubiquinol-cytochrome c reductase hinge protein like,440567,1,15807374,15807649,-
SPEN,spen family transcriptional repressor,23013,1,15847707,15940456,+
ZBTB17,zinc finger and BTB domain containing 17,7709,1,15939933,15976132,-
SRARP,steroid receptor associated and regulated protein,149563,1,16004236,16008807,+
HSPB7,heat shock protein family B (small) member 7,27129,1,16014029,16019594,-
CLCNKA,chloride voltage-gated channel Ka,1187,1,16022036,16034050,+
CLCNKB,chloride voltage-gated channel Kb,1188,1,16043782,16057326,+
FAM131C,family with sequence similarity 131 member C,348487,1,16057769,16073651,-
EPHA2,EPH receptor A2,1969,1,16124337,16156104,-
ARHGEF19,Rho guanine nucleotide exchange factor 19,128272,1,16197854,16212700,-
CPLANE2,ciliogenesis and planar polarity effector 2,79363,1,16231692,16237445,-
FBXO42,F-box protein 42,54455,1,16246840,16352480,-
SZRD1,SUZ RNA binding domain containing 1,26099,1,16367242,16398145,+
SPATA21,spermatogenesis associated 21,374955,1,16395606,16437842,-
NECAP2,NECAP endocytosis associated 2,55707,1,16440724,16460078,+
NBPF1,NBPF member 1,55672,1,16562323,16613564,-
CROCC,ciliary rootlet coiled-coil-2C rootletin,9696,1,16914082,16972979,+
MFAP2,microfibril associated protein 2,4237,1,16974502,16981583,-
ATP13A2,ATPase cation transporting 13A2,23400,1,16985958,17011972,-
SDHB,succinate dehydrogenase complex iron sulfur subunit B,6390,1,17018722,17054032,-
PADI2,peptidyl arginine deiminase 2,11240,1,17066761,17119453,-
PADI1,peptidyl arginine deiminase 1,29943,1,17205125,17246007,+
PADI3,peptidyl arginine deiminase 3,51702,1,17249079,17284233,+
PADI4,peptidyl arginine deiminase 4,23569,1,17308195,17364004,+
PADI6,peptidyl arginine deiminase 6,353238,1,17372196,17401699,+
RCC2,regulator of chromosome condensation 2,55920,1,17406760,17439677,-
ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,55160,1,17513442,17697875,+
ACTL8,actin like 8,81569,1,17755333,17827063,+
IGSF21,immunoglobin superfamily member 21,84966,1,18107746,18378483,+
KLHDC7A,kelch domain containing 7A,127707,1,18480930,18485974,+
PAX7,paired box 7,5081,1,18630846,18748866,+
TAS1R2,taste 1 receptor member 2,80834,1,18839599,18859660,-
ALDH4A1,aldehyde dehydrogenase 4 family member A1,8659,1,18871430,18902555,-
IFFO2,intermediate filament family orphan 2,126917,1,18904280,18956676,-
UBR4,ubiquitin protein ligase E3 component n-recognin 4,23352,1,19074508,19214332,-
EMC1,ER membrane protein complex subunit 1,23065,1,19215660,19251524,-
MRTO4,MRT4 homolog-2C ribosome maturation factor,51154,1,19251799,19260128,+
AKR7A3,aldo-keto reductase family 7 member A3,22977,1,19274229,19289362,-
AKR7A2,aldo-keto reductase family 7 member A2,8574,1,19302708,19312146,-
SLC66A1,solute carrier family 66 member 1,54896,1,19312302,19332611,+
CAPZB,capping actin protein of muscle Z-line subunit beta,832,1,19338775,19485539,-
MICOS10-NBL1,MICOS10-NBL1 readthrough,100532736,1,19596979,19658452,+
MICOS10,mitochondrial contact site and cristae organizing system subunit 10,440574,1,19596979,19629820,+
NBL1,NBL1-2C DAN family BMP antagonist,4681,1,19643229,19658452,+
HTR6,5-hydroxytryptamine receptor 6,3362,1,19664875,19680966,+
TMCO4,transmembrane and coiled-coil domains 4,255104,1,19682213,19800385,-
RNF186,ring finger protein 186,54546,1,19814029,19815283,-
OTUD3,OTU deubiquitinase 3,23252,1,19881708,19912945,+
PLA2G2E,phospholipase A2 group IIE,30814,1,19920009,19923617,-
PLA2G2A,phospholipase A2 group IIA,5320,1,19975431,19980434,-
PLA2G5,phospholipase A2 group V,5322,1,20028349,20091911,+
PLA2G2D,phospholipase A2 group IID,26279,1,20111939,20119536,-
PLA2G2F,phospholipase A2 group IIF,64600,1,20139323,20150386,+
PLA2G2C,phospholipase A2 group IIC,391013,1,20163055,20186518,-
UBXN10,UBX domain protein 10,127733,1,20183007,20196050,+
VWA5B1,von Willebrand factor A domain containing 5B1,127731,1,20290875,20360442,+
CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,55450,1,20482391,20486210,-
MUL1,mitochondrial E3 ubiquitin protein ligase 1,79594,1,20499448,20508483,-
FAM43B,family with sequence similarity 43 member B,163933,1,20552573,20555020,+
CDA,cytidine deaminase,978,1,20589097,20618903,+
PINK1,PTEN induced kinase 1,65018,1,20633458,20651511,+
DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,1650,1,20651777,20661369,-
KIF17,kinesin family member 17,57576,1,20664014,20718007,-
SH2D5,SH2 domain containing 5,400745,1,20719731,20732703,-
HP1BP3,heterochromatin protein 1 binding protein 3,50809,1,20740266,20787307,-
EIF4G3,eukaryotic translation initiation factor 4 gamma 3,8672,1,20806292,21176897,-
ECE1,endothelin converting enzyme 1,1889,1,21217250,21345504,-
NBPF3,NBPF member 3,84224,1,21436775,21484900,+
ALPL,alkaline phosphatase-2C biomineralization associated,249,1,21508984,21578412,+
RAP1GAP,RAP1 GTPase activating protein,5909,1,21596221,21669357,-
USP48,ubiquitin specific peptidase 48,84196,1,21678298,21784146,-
LDLRAD2,low density lipoprotein receptor class A domain containing 2,401944,1,21812265,21825225,+
HSPG2,heparan sulfate proteoglycan 2,3339,1,21822244,21937310,-
CELA3B,chymotrypsin like elastase 3B,23436,1,21977022,21989354,+
CELA3A,chymotrypsin like elastase 3A,10136,1,22001657,22012542,+
CDC42,cell division cycle 42,998,1,22052709,22101360,+
WNT4,Wnt family member 4,54361,1,22117308,22143981,-
ZBTB40,zinc finger and BTB domain containing 40,9923,1,22428838,22531154,+
EPHA8,EPH receptor A8,2046,1,22563489,22603595,+
C1QA,complement C1q A chain,712,1,22636463,22639678,+
C1QC,complement C1q C chain,714,1,22643633,22648108,+
C1QB,complement C1q B chain,713,1,22653236,22661637,+
EPHB2,EPH receptor B2,2048,1,22710770,22921500,+
LACTBL1,lactamase beta like 1,646262,1,22953043,22972866,-
TEX46,testis expressed 46,729059,1,23010834,23015852,-
KDM1A,lysine demethylase 1A,23028,1,23019443,23083691,+
LUZP1,leucine zipper protein 1,7798,1,23083642,23177808,-
HTR1D,5-hydroxytryptamine receptor 1D,3352,1,23191895,23217502,-
HNRNPR,heterogeneous nuclear ribonucleoprotein R,10236,1,23304688,23344316,-
ZNF436,zinc finger protein 436,80818,1,23359448,23369836,-
TCEA3,transcription elongation factor A3,6920,1,23380909,23424776,-
ASAP3,ArfGAP with SH3 domain-2C ankyrin repeat and PH domain 3,55616,1,23428563,23484631,-
E2F2,E2F transcription factor 2,1870,1,23505696,23531250,-
ID3,inhibitor of DNA binding 3-2C HLH protein,3399,1,23557926,23559501,-
RPL11,ribosomal protein L11,6135,1,23691779,23696835,+
ELOA,elongin A,6924,1,23743471,23762059,+
PITHD1,PITH domain containing 1,57095,1,23778417,23788232,+
LYPLA2,lysophospholipase 2,11313,1,23790789,23795539,+
GALE,UDP-galactose-4-epimerase,2582,1,23795599,23800754,-
HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase,3155,1,23801885,23825429,-
FUCA1,alpha-L-fucosidase 1,2517,1,23845077,23868332,-
CNR2,cannabinoid receptor 2,1269,1,23870515,23913362,-
PNRC2,proline rich nuclear receptor coactivator 2,55629,1,23959164,23963462,+
SRSF10,serine and arginine rich splicing factor 10,10772,1,23964347,23980370,-
MYOM3,myomesin 3,127294,1,24056041,24112135,-
IL22RA1,interleukin 22 receptor subunit alpha 1,58985,1,24119771,24143140,-
IFNLR1,interferon lambda receptor 1,163702,1,24154156,24187295,-
GRHL3,grainyhead like transcription factor 3,57822,1,24319333,24364482,+
STPG1,sperm tail PG-rich repeat containing 1,90529,1,24356999,24415533,-
NIPAL3,NIPA like domain containing 3,57185,1,24413360,24472983,+
RCAN3,RCAN family member 3,11123,1,24502344,24541040,+
NCMAP,non-compact myelin associated protein,400746,1,24556087,24609328,+
SRRM1,serine and arginine repetitive matrix 1,10250,1,24643273,24673281,+
CLIC4,chloride intracellular channel 4,25932,1,24745447,24844321,+
RUNX3,RUNX family transcription factor 3,864,1,24899511,24965158,-
SYF2,SYF2 pre-mRNA splicing factor,25949,1,25222276,25232502,-
RSRP1,arginine and serine rich protein 1,57035,1,25242249,25338254,-
RHD,Rh blood group D antigen,6007,1,25272393,25330445,+
TMEM50A,transmembrane protein 50A,23585,1,25338334,25362361,+
RHCE,Rh blood group CcEe antigens,6006,1,25360659,25430193,-
MACO1,macoilin 1,55219,1,25430897,25500209,+
LDLRAP1,low density lipoprotein receptor adaptor protein 1,26119,1,25543588,25590400,+
MAN1C1,mannosidase alpha class 1C member 1,57134,1,25616791,25784450,+
SELENON,selenoprotein N,57190,1,25800193,25818221,+
MTFR1L,mitochondrial fission regulator 1 like,56181,1,25819954,25832938,+
AUNIP,aurora kinase A and ninein interacting protein,79000,1,25831906,25859457,-
PAQR7,progestin and adipoQ receptor family member 7,164091,1,25861484,25876707,-
STMN1,stathmin 1,3925,1,25884179,25906880,-
PAFAH2,platelet activating factor acetylhydrolase 2,5051,1,25959764,25998164,-
EXTL1,exostosin like glycosyltransferase 1,2134,1,26021775,26036464,+
SLC30A2,solute carrier family 30 member 2,7780,1,26037252,26046118,-
TRIM63,tripartite motif containing 63,84676,1,26051301,26067630,-
PDIK1L,PDLIM1 interacting kinase 1 like,149420,1,26111162,26125555,+
FAM110D,family with sequence similarity 110 member D,79927,1,26159079,26163962,+
ZNF593OS,ZNF593 opposite strand,118568799,1,26169521,26171832,-
ZNF593,zinc finger protein 593,51042,1,26169908,26170873,+
CNKSR1,connector enhancer of kinase suppressor of Ras 1,10256,1,26177491,26189884,+
CATSPER4,cation channel sperm associated 4,378807,1,26189962,26202964,+
CEP85,centrosomal protein 85,64793,1,26234179,26278808,+
SH3BGRL3,SH3 domain binding glutamate rich protein like 3,83442,1,26280086,26281522,+
UBXN11,UBX domain protein 11,91544,1,26282282,26318355,-
CD52,CD52 molecule,1043,1,26317958,26320523,+
CRYBG2,crystallin beta-gamma domain containing 2,55057,1,26321860,26354130,-
ZNF683,zinc finger protein 683,257101,1,26361632,26374536,-
LIN28A,lin-28 homolog A,79727,1,26410778,26429728,+
DHDDS,dehydrodolichyl diphosphate synthase subunit,79947,1,26432321,26471306,+
HMGN2,high mobility group nucleosomal binding domain 2,3151,1,26472440,26476642,+
RPS6KA1,ribosomal protein S6 kinase A1,6195,1,26529761,26575028,+
ARID1A,AT-rich interaction domain 1A,8289,1,26696015,26782104,+
PIGV,phosphatidylinositol glycan anchor biosynthesis class V,55650,1,26787054,26800659,+
ZDHHC18,zinc finger DHHC-type palmitoyltransferase 18,84243,1,26826688,26857604,+
SFN,stratifin,2810,1,26863149,26864456,+
GPN2,GPN-loop GTPase 2,54707,1,26876132,26890283,-
GPATCH3,G-patch domain containing 3,63906,1,26890488,26900467,-
NUDC,nuclear distribution C-2C dynein complex regulator,10726,1,26900569,26946871,+
NR0B2,nuclear receptor subfamily 0 group B member 2,8431,1,26911489,26914110,-
KDF1,keratinocyte differentiation factor 1,126695,1,26949556,26960496,-
TRNP1,TMF1 regulated nuclear protein 1,388610,1,26993663,27000891,+
TENT5B,terminal nucleotidyltransferase 5B,115572,1,27005020,27012850,-
SLC9A1,solute carrier family 9 member A1,6548,1,27098809,27155125,-
WDTC1,WD and tetratricopeptide repeats 1,23038,1,27234613,27308636,+
TMEM222,transmembrane protein 222,84065,1,27322163,27336400,+
SYTL1,synaptotagmin like 1,84958,1,27342022,27353932,+
MAP3K6,mitogen-activated protein kinase kinase kinase 6,9064,1,27355179,27368037,-
FCN3,ficolin 3,8547,1,27369110,27374852,-
CD164L2,CD164 molecule like 2,388611,1,27379171,27383333,-
GPR3,G protein-coupled receptor 3,2827,1,27392622,27395814,+
WASF2,WASP family member 2,10163,1,27404230,27490167,-
AHDC1,AT-hook DNA binding motif containing 1,27245,1,27534245,27604178,-
FGR,FGR proto-oncogene-2C Src family tyrosine kinase,2268,1,27612064,27635185,-
IFI6,interferon alpha inducible protein 6,2537,1,27666061,27672229,-
FAM76A,family with sequence similarity 76 member A,199870,1,27725961,27763116,+
STX12,syntaxin 12,23673,1,27773219,27824443,+
PPP1R8,protein phosphatase 1 regulatory subunit 8,5511,1,27830782,27851676,+
THEMIS2,thymocyte selection associated family member 2,9473,1,27872531,27886679,+
RPA2,replication protein A2,6118,1,27891524,27914797,-
SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,27293,1,27934955,27959152,+
XKR8,XK related 8,55113,1,27959557,27968093,+
EYA3,EYA transcriptional coactivator and phosphatase 3,2140,1,27970344,28088671,-
PTAFR,platelet activating factor receptor,5724,1,28147166,28193856,-
DNAJC8,DnaJ heat shock protein family (Hsp40) member C8,22826,1,28200278,28233029,-
ATP5IF1,ATP synthase inhibitory factor subunit 1,93974,1,28236124,28238100,+
SESN2,sestrin 2,83667,1,28259452,28282491,+
MED18,mediator complex subunit 18,54797,1,28329040,28335967,+
PHACTR4,phosphatase and actin regulator 4,65979,1,28369740,28500364,+
RCC1,regulator of chromosome condensation 1,1104,1,28506043,28538989,+
TRNAU1AP,tRNA selenocysteine 1 associated protein 1,54952,1,28553085,28578545,+
RAB42,RAB42-2C member RAS oncogene family,115273,1,28592265,28596666,+
TAF12,TATA-box binding protein associated factor 12,6883,1,28602850,28648707,-
GMEB1,glucocorticoid modulatory element binding protein 1,10691,1,28668782,28719353,+
YTHDF2,YTH N6-methyladenosine RNA binding protein 2,51441,1,28736624,28769775,+
OPRD1,opioid receptor delta 1,4985,1,28812170,28871267,+
